leaf_path	block_idx	runnability	label	exit_code	bucket	expected_count	actual_lines	expected_match	expected_crash
05_Expansions/04_Parameter-and-variable-expansion.md	4	RUNNABLE	NEUTRAL	0	MISMATCH	4	4	MISSING:4/4	0
05_Expansions/04_Parameter-and-variable-expansion.md	5	RUNNABLE	NEUTRAL	0	MISMATCH	5	5	MISSING:5/5	0
05_Expansions/04_Parameter-and-variable-expansion.md	6	RUNNABLE	NEUTRAL	0	MISMATCH	5	5	MISSING:5/5	0
05_Expansions/04_Parameter-and-variable-expansion.md	7	RUNNABLE	NEUTRAL	0	MISMATCH	2	4	MISSING:2/2	0
05_Expansions/04_Parameter-and-variable-expansion.md	8	RUNNABLE	NEUTRAL	0	MISSING_ANNOT	0	2	-	0
05_Expansions/04_Parameter-and-variable-expansion.md	9	RUNNABLE	NEUTRAL	0	MISMATCH	4	4	MISSING:4/4	0
05_Expansions/04_Parameter-and-variable-expansion.md	10	RUNNABLE	NEUTRAL	0	MISMATCH	2	5	MISSING:2/2	0
05_Expansions/05_Arithmetic-expansion.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	9	9	MISSING:6/9	0
05_Expansions/05_Arithmetic-expansion.md	2	RUNNABLE	NEUTRAL	1	CRASH	4	0	-	0
05_Expansions/05_Arithmetic-expansion.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	3	2	MISSING:3/3	0
05_Expansions/06_Command-substitution.md	3	RUNNABLE	NEUTRAL	0	OK	1	2	OK	0
05_Expansions/06_Command-substitution.md	4	RUNNABLE	NEUTRAL	1	CRASH	0	1	-	0
05_Expansions/06_Command-substitution.md	5	RUNNABLE	NEUTRAL	0	MISMATCH	2	5	MISSING:1/2	0
05_Expansions/08_Word-splitting-and-IFS.md	1	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
05_Expansions/08_Word-splitting-and-IFS.md	2	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
05_Expansions/08_Word-splitting-and-IFS.md	3	RUNNABLE	NEUTRAL	0	OK	4	12	OK	0
05_Expansions/08_Word-splitting-and-IFS.md	4	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
05_Expansions/08_Word-splitting-and-IFS.md	6	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
05_Expansions/09_Pathname-expansion-globbing.md	1	RUNNABLE	NEUTRAL	2	CRASH	4	0	-	0
05_Expansions/09_Pathname-expansion-globbing.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	3	3	MISSING:2/3	0
05_Expansions/09_Pathname-expansion-globbing.md	3	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
05_Expansions/09_Pathname-expansion-globbing.md	4	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
05_Expansions/10_Quote-removal.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	6	6	MISSING:4/6	0
05_Expansions/11_Glob-options.md	1	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
05_Expansions/11_Glob-options.md	2	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
05_Expansions/11_Glob-options.md	3	RUNNABLE	NEUTRAL	0	MISSING_ANNOT	0	1	-	0
05_Expansions/11_Glob-options.md	4	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
05_Expansions/12_Extended-globs-extglob.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	5	0	MISSING:5/5	0
05_Expansions/12_Extended-globs-extglob.md	3	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
05_Expansions/12_Extended-globs-extglob.md	4	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
05_Expansions/13_Locale-and-pattern-matching.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	3	2	MISSING:2/3	0
05_Expansions/13_Locale-and-pattern-matching.md	2	RUNNABLE	NEUTRAL	127	CRASH	0	0	-	0
05_Expansions/13_Locale-and-pattern-matching.md	3	RUNNABLE	NEUTRAL	1	CRASH	0	1	-	0
06_Redirection-and-Pipelines/01_The-fd-table-from-Bashs-perspective.md	1	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
06_Redirection-and-Pipelines/01_The-fd-table-from-Bashs-perspective.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	2	2	MISSING:2/2	0
06_Redirection-and-Pipelines/01_The-fd-table-from-Bashs-perspective.md	3	RUNNABLE	NEUTRAL	0	MISSING_ANNOT	0	1	-	0
06_Redirection-and-Pipelines/03_Output-redirection.md	1	RUNNABLE	NEUTRAL	1	CRASH	6	3	-	0
06_Redirection-and-Pipelines/03_Output-redirection.md	2	RUNNABLE	RIGHT	1	CRASH	0	0	-	0
06_Redirection-and-Pipelines/04_Stderr-redirection-and-merging.md	1	RUNNABLE	NEUTRAL	0	MISSING_ANNOT	0	1	-	0
06_Redirection-and-Pipelines/04_Stderr-redirection-and-merging.md	2	RUNNABLE	NEUTRAL	127	CRASH	1	0	-	0
06_Redirection-and-Pipelines/06_Duplicating-fds.md	1	RUNNABLE	NEUTRAL	2	CRASH	1	0	-	0
06_Redirection-and-Pipelines/06_Duplicating-fds.md	2	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
